[detection] Anomalies.
cable/test/bent_wire/001.png@#@<p>Anomalies</p> {<18><46><51><79>}<delim>{<53><24><70><46>}<delim>{<37><15><69><48>}
cable/test/bent_wire/002.png@#@<p>Anomalies</p> {<24><41><50><78>}<delim>{<53><42><81><80>}<delim>{<19><33><51><67>}
cable/test/bent_wire/003.png@#@<p>Anomalies</p> {<15><46><48><74>}<delim>{<33><20><67><53>}<delim>{<15><46><48><74>}
cable/test/bent_wire/004.png@#@<p>Anomalies</p> {<8><9><57><61>}<delim>{<20><43><52><74>}<delim>{<47><12><67><47>}
cable/test/bent_wire/005.png@#@<p>Anomalies</p> {<13><42><48><79>}<delim>{<50><38><81><75>}<delim>{<48><38><77><74>}
cable/test/bent_wire/006.png@#@<p>Anomalies</p> {<11><42><48><82>}<delim>{<31><14><69><50>}
cable/test/bent_wire/007.png@#@<p>Anomalies</p> {<42><51><53><67>}<delim>{<52><40><84><82>}<delim>{<22><43><54><78>}
cable/test/bent_wire/008.png@#@<p>Anomalies</p> {<48><50><82><73>}<delim>{<19><46><51><74>}
cable/test/bent_wire/009.png@#@<p>Anomalies</p> {<36><10><71><49>}<delim>{<12><27><50><78>}
cable/test/bent_wire/010.png@#@<p>Anomalies</p> {<14><42><49><76>}<delim>{<31><18><69><50>}<delim>{<14><49><49><78>}
cable/test/bent_wire/011.png@#@<p>Anomalies</p> {<24><17><82><80>}<delim>{<53><52><84><76>}
cable/test/bent_wire/012.png@#@<p>Anomalies</p> {<23><42><54><79>}<delim>{<51><14><69><31>}<delim>{<48><16><66><41>}
cable/test/cable_swap/000.png@#@<p>Anomalies</p> {<52><42><86><73>}<delim>{<20><44><51><73>}
cable/test/cable_swap/001.png@#@<p>Anomalies</p> {<7><7><93><94>}
cable/test/cable_swap/002.png@#@<p>Anomalies</p> {<7><6><93><94>}
cable/test/cable_swap/003.png@#@<p>Anomalies</p> {<39><18><82><50>}<delim>{<17><43><55><79>}
cable/test/cable_swap/004.png@#@<p>Anomalies</p> {<54><37><81><59>}<delim>{<20><46><49><72>}
cable/test/cable_swap/005.png@#@<p>Anomalies</p> {<18><47><49><76>}<delim>{<53><48><81><72>}<delim>{<37><18><69><50>}
cable/test/cable_swap/006.png@#@<p>Anomalies</p> {<22><43><49><71>}<delim>{<35><16><70><47>}<delim>{<19><8><71><48>}
cable/test/cable_swap/007.png@#@<p>Anomalies</p> {<37><17><68><49>}<delim>{<54><40><83><73>}
cable/test/cable_swap/008.png@#@<p>Anomalies</p> {<21><48><50><76>}<delim>{<35><32><69><55>}
cable/test/cable_swap/009.png@#@<p>Anomalies</p> {<18><46><50><74>}<delim>{<34><24><69><52>}
cable/test/cable_swap/010.png@#@<p>Anomalies</p> {<16><47><50><79>}<delim>{<32><22><68><52>}<delim>{<31><14><70><54>}
cable/test/cable_swap/011.png@#@<p>Anomalies</p> {<53><45><81><77>}<delim>{<20><43><51><73>}<delim>{<20><43><51><73>}
cable/test/combined/000.png@#@<p>Anomalies</p> {<14><13><68><78>}<delim>{<13><45><48><79>}
cable/test/combined/001.png@#@<p>Anomalies</p> {<15><43><48><78>}<delim>{<34><12><70><49>}<delim>{<34><12><70><49>}
cable/test/combined/002.png@#@<p>Anomalies</p> {<14><51><49><76>}<delim>{<28><19><62><54>}
cable/test/combined/003.png@#@<p>Anomalies</p> {<15><40><47><77>}<delim>{<32><16><69><48>}
cable/test/combined/004.png@#@<p>Anomalies</p> {<15><43><52><78>}<delim>{<34><12><69><49>}<delim>{<14><50><52><78>}
cable/test/combined/005.png@#@<p>Anomalies</p> {<51><40><83><71>}<delim>{<20><40><48><69>}
cable/test/combined/006.png@#@<p>Anomalies</p> {<49><41><81><76>}<delim>{<17><39><48><72>}<delim>{<16><39><48><72>}
cable/test/combined/007.png@#@<p>Anomalies</p> {<51><45><82><76>}<delim>{<15><45><49><68>}<delim>{<30><14><69><45>}
cable/test/combined/008.png@#@<p>Anomalies</p> {<51><42><79><76>}<delim>{<20><38><50><76>}
cable/test/combined/009.png@#@<p>Anomalies</p> {<8><13><65><76>}<delim>{<42><40><83><79>}<delim>{<30><14><61><45>}
cable/test/combined/010.png@#@<p>Anomalies</p> {<34><20><70><52>}<delim>{<11><21><86><91>}
cable/test/cut_inner_insulation/000.png@#@<p>Anomalies</p> {<16><43><48><75>}<delim>{<45><40><82><83>}<delim>{<30><25><65><47>} <p>a copper colored wire</p> {<16><43><48><75>}<delim>{<45><40><82><83>} <p>a yellow wire</p> {<30><25><65><47>} <p>a purple wire</p> {<16><43><48><75>}
cable/test/cut_inner_insulation/001.png@#@<p>Anomalies</p> {<8><9><96><79>}
cable/test/cut_inner_insulation/002.png@#@<p>Anomalies</p> {<48><37><80><81>}<delim>{<15><38><48><72>}
cable/test/cut_inner_insulation/003.png@#@<p>Anomalies</p> {<48><50><83><78>}<delim>{<19><23><48><46>}
cable/test/cut_inner_insulation/004.png@#@<p>Anomalies</p> {<8><4><93><95>}<delim>{<31><8><69><72>}
cable/test/cut_inner_insulation/005.png@#@<p>Anomalies</p> {<41><73><60><80>}<delim>{<50><42><79><82>}
cable/test/cut_inner_insulation/006.png@#@<p>Anomalies</p> {<15><43><54><76>}<delim>{<34><20><69><52>}<delim>{<15><46><53><73>}
cable/test/cut_inner_insulation/007.png@#@<p>Anomalies</p> {<17><43><49><76>}<delim>{<50><38><72><46>}<delim>{<27><42><53><75>}
cable/test/cut_inner_insulation/008.png@#@<p>Anomalies</p> {<46><39><84><75>}<delim>{<13><39><50><75>}<delim>{<30><15><68><52>}
cable/test/cut_inner_insulation/009.png@#@<p>Anomalies</p> {<30><11><69><49>}<delim>{<21><47><49><75>}<delim>{<15><11><38><51>}
cable/test/cut_inner_insulation/010.png@#@<p>Anomalies</p> {<50><43><82><79>}<delim>{<20><41><52><81>}
cable/test/cut_inner_insulation/011.png@#@<p>Anomalies</p> {<12><40><53><79>}<delim>{<36><20><70><58>}<delim>{<35><15><70><53>}
cable/test/cut_inner_insulation/012.png@#@<p>Anomalies</p> {<53><26><85><77>}<delim>{<15><40><59><82>}<delim>{<33><7><75><46>}
cable/test/cut_inner_insulation/013.png@#@<p>Anomalies</p> {<21><53><54><80>}<delim>{<51><42><83><79>}
cable/test/cut_outer_insulation/000.png@#@<p>Anomalies</p> {<40><52><76><81>}<delim>{<39><21><69><46>}<delim>{<16><46><45><73>}
cable/test/cut_outer_insulation/001.png@#@<p>Anomalies</p> {<37><13><69><48>}<delim>{<11><5><82><85>}<delim>{<53><45><82><73>}
cable/test/cut_outer_insulation/002.png@#@<p>Anomalies</p> {<26><49><48><73>}<delim>{<15><49><49><73>}
cable/test/cut_outer_insulation/003.png@#@<p>Anomalies</p> {<7><3><96><95>}<delim>{<24><20><64><67>}
cable/test/cut_outer_insulation/004.png@#@<p>Anomalies</p> {<50><49><78><71>}<delim>{<23><16><66><50>}<delim>{<15><42><48><70>}
cable/test/cut_outer_insulation/005.png@#@<p>Anomalies</p> {<56><47><81><69>}<delim>{<23><43><54><75>}<delim>{<37><15><69><46>} <p>Golden flecks</p> {<42><22><68><40>}<delim>{<45><23><72><40>} <p>Copper wires</p> {<42><22><68><40>}<delim>{<45><23><72><40>}
cable/test/cut_outer_insulation/006.png@#@<p>Anomalies</p> {<19><43><52><76>}<delim>{<50><44><83><73>}<delim>{<19><50><52><76>}
cable/test/cut_outer_insulation/007.png@#@<p>Anomalies</p> {<4><4><97><96>}
cable/test/cut_outer_insulation/008.png@#@<p>Anomalies</p> {<53><47><82><67>}<delim>{<19><45><51><71>}<delim>{<35><16><69><50>}
cable/test/cut_outer_insulation/009.png@#@<p>Anomalies</p> {<19><46><52><73>}<delim>{<55><38><81><69>}
cable/test/good/000.png@#@<p>Anomalies</p> {<23><46><51><74>}<delim>{<34><20><69><48>}
cable/test/good/001.png@#@<p>Anomalies</p> {<15><36><49><74>}<delim>{<15><8><69><74>}
cable/test/good/002.png@#@<p>Anomalies</p> {<58><39><80><72>}<delim>{<19><38><52><74>}<delim>{<37><12><72><42>}
cable/test/good/003.png@#@<p>Anomalies</p> {<15><47><49><76>}<delim>{<30><18><65><52>}
cable/test/good/004.png@#@<p>Anomalies</p> {<16><46><50><77>}<delim>{<37><20><64><54>}
cable/test/good/005.png@#@<p>Anomalies</p> {<51><40><82><72>}<delim>{<21><39><54><72>}
cable/test/good/006.png@#@<p>Anomalies</p> {<15><42><48><77>}<delim>{<34><20><69><53>}
cable/test/good/007.png@#@<p>Anomalies</p> {<15><43><49><77>}<delim>{<15><43><69><80>}
cable/test/good/008.png@#@<p>Anomalies</p> {<13><8><92><94>}
cable/test/good/009.png@#@<p>Anomalies</p> {<18><43><50><72>}<delim>{<39><16><71><53>}<delim>{<52><15><73><42>}
cable/test/good/010.png@#@<p>Anomalies</p> {<14><8><89><76>}<delim>{<52><43><81><78>}<delim>{<14><43><48><78>}
cable/test/good/011.png@#@<p>Anomalies</p> {<13><39><50><72>}<delim>{<36><10><68><41>}<delim>{<15><36><50><69>}
cable/test/good/012.png@#@<p>Anomalies</p> {<15><39><49><70>}<delim>{<54><38><81><72>}<delim>{<36><16><70><44>}
cable/test/good/013.png@#@<p>Anomalies</p> {<10><26><84><82>}<delim>{<36><20><70><52>}
cable/test/good/014.png@#@<p>Anomalies</p> {<13><7><95><94>}<delim>{<20><40><50><74>}
cable/test/good/015.png@#@<p>Anomalies</p> {<38><53><49><74>}<delim>{<52><22><69><51>}<delim>{<19><52><50><78>}
cable/test/good/016.png@#@<p>Anomalies</p> {<13><47><49><77>}<delim>{<35><16><70><52>}
cable/test/good/017.png@#@<p>Anomalies</p> {<17><45><48><73>}<delim>{<49><42><81><76>}
cable/test/good/018.png@#@<p>Anomalies</p> {<16><47><49><75>}<delim>{<37><16><68><48>}<delim>{<15><50><50><80>}
cable/test/good/019.png@#@<p>Anomalies</p> {<35><25><71><54>}<delim>{<56><56><82><79>}<delim>{<18><47><51><80>}
cable/test/good/020.png@#@<p>Anomalies</p> {<51><49><79><82>}<delim>{<37><21><69><52>}<delim>{<17><48><49><81>}
cable/test/good/021.png@#@<p>Anomalies</p> {<16><43><49><76>}<delim>{<15><40><52><84>}<delim>{<30><18><69><61>}
cable/test/good/022.png@#@<p>Anomalies</p> {<15><46><49><74>}<delim>{<35><28><69><50>}<delim>{<14><46><49><74>}
cable/test/good/023.png@#@<p>Anomalies</p> {<17><44><50><73>}<delim>{<33><22><69><48>}
cable/test/good/024.png@#@<p>Anomalies</p> {<52><49><81><76>}<delim>{<15><43><49><72>}<delim>{<34><13><70><47>}
cable/test/good/025.png@#@<p>Anomalies</p> {<16><48><50><76>}<delim>{<16><16><67><56>}
cable/test/good/026.png@#@<p>Anomalies</p> {<8><46><50><79>}<delim>{<36><17><68><52>}<delim>{<15><47><50><82>}
cable/test/good/027.png@#@<p>Anomalies</p> {<18><43><51><76>}<delim>{<40><19><72><56>}
cable/test/good/028.png@#@<p>Anomalies</p> {<50><45><81><73>}<delim>{<33><19><67><48>}<delim>{<16><21><49><48>}
cable/test/good/029.png@#@<p>Anomalies</p> {<19><43><52><75>}<delim>{<50><12><71><43>}<delim>{<36><10><69><46>}
cable/test/good/030.png@#@<p>Anomalies</p> {<36><48><52><67>}<delim>{<9><51><47><80>}<delim>{<35><19><68><56>}
cable/test/good/031.png@#@<p>Anomalies</p> {<18><45><50><76>}<delim>{<39><24><71><55>}
cable/test/good/032.png@#@<p>Anomalies</p> {<14><44><47><77>}<delim>{<38><15><70><49>}
cable/test/good/033.png@#@<p>Anomalies</p> {<47><25><69><52>}<delim>{<18><45><48><74>}
cable/test/good/034.png@#@<p>Anomalies</p> {<13><42><48><76>}<delim>{<16><45><49><76>}
cable/test/good/035.png@#@<p>Anomalies</p> {<20><42><49><76>}<delim>{<19><10><67><50>}<delim>{<19><48><49><77>}
cable/test/good/036.png@#@<p>Anomalies</p> {<47><39><81><72>}<delim>{<16><40><47><67>}<delim>{<15><38><48><69>}
cable/test/good/037.png@#@<p>Anomalies</p> {<51><47><80><76>}<delim>{<19><42><49><76>}<delim>{<38><16><64><48>}
cable/test/good/038.png@#@<p>Anomalies</p> {<15><40><48><76>}<delim>{<37><22><70><50>}
cable/test/good/039.png@#@<p>Anomalies</p> {<54><43><81><79>}<delim>{<16><20><63><58>}<delim>{<16><17><61><47>}
cable/test/good/040.png@#@<p>Anomalies</p> {<15><39><48><76>}<delim>{<32><16><64><50>}<delim>{<15><45><48><81>}
cable/test/good/041.png@#@<p>Anomalies</p> {<14><52><45><80>}<delim>{<33><20><67><60>}<delim>{<14><52><45><80>}
cable/test/good/042.png@#@<p>Anomalies</p> {<15><41><49><73>}<delim>{<30><18><65><52>}<delim>{<41><45><81><73>}
cable/test/good/043.png@#@<p>Anomalies</p> {<19><45><51><74>}<delim>{<38><20><69><51>}<delim>{<50><45><84><84>}
cable/test/good/044.png@#@<p>Anomalies</p> {<17><40><50><73>}<delim>{<52><38><83><73>}<delim>{<32><14><69><46>}
cable/test/good/045.png@#@<p>Anomalies</p> {<16><40><49><71>}<delim>{<35><17><70><46>}<delim>{<40><16><69><44>}
cable/test/good/046.png@#@<p>Anomalies</p> {<16><42><49><73>}<delim>{<47><15><69><41>}<delim>{<20><34><51><81>}
cable/test/good/047.png@#@<p>Anomalies</p> {<15><38><49><71>}<delim>{<32><13><69><44>}
cable/test/good/048.png@#@<p>Anomalies</p> {<16><41><50><73>}<delim>{<39><21><69><43>}<delim>{<15><42><49><67>}
cable/test/good/049.png@#@<p>Anomalies</p> {<7><6><95><93>}
cable/test/good/050.png@#@<p>Anomalies</p> {<43><45><80><74>}<delim>{<19><42><49><74>}<delim>{<15><40><50><69>}
cable/test/good/051.png@#@<p>Anomalies</p> {<15><42><48><73>}<delim>{<39><20><71><50>}
cable/test/good/052.png@#@<p>Anomalies</p> {<15><42><48><73>}<delim>{<16><41><49><73>}<delim>{<37><15><69><49>}
cable/test/good/053.png@#@<p>Anomalies</p> {<16><41><50><73>}<delim>{<38><21><70><45>}
cable/test/good/054.png@#@<p>Anomalies</p> {<19><42><50><73>}<delim>{<51><46><80><71>}
cable/test/good/055.png@#@<p>Anomalies</p> {<15><38><49><72>}<delim>{<37><10><67><40>}<delim>{<49><39><83><73>}
cable/test/good/056.png@#@<p>Anomalies</p> {<15><34><50><71>}<delim>{<40><12><69><43>}<delim>{<28><33><49><68>}
cable/test/good/057.png@#@<p>Anomalies</p> {<18><39><47><70>}<delim>{<42><15><69><44>}
cable/test/missing_cable/000.png@#@<p>Anomalies</p> {<56><42><83><71>}<delim>{<21><41><53><70>}
cable/test/missing_cable/001.png@#@<p>Anomalies</p> {<26><15><80><93>}<delim>{<10><8><86><93>}
cable/test/missing_cable/002.png@#@<p>Anomalies</p> {<48><48><72><79>}<delim>{<28><23><67><52>}
cable/test/missing_cable/003.png@#@<p>Anomalies</p> {<35><18><80><49>}<delim>{<20><27><54><64>}<delim>{<52><37><81><71>} <p>a white wire</p> {<11><11><94><100>} with green and gold powder coated connectors
cable/test/missing_cable/004.png@#@<p>Anomalies</p> {<16><43><57><79>}<delim>{<40><12><61><48>}
cable/test/missing_cable/005.png@#@<p>Anomalies</p> {<35><19><68><54>}<delim>{<16><42><50><77>}
cable/test/missing_cable/006.png@#@<p>Anomalies</p> {<7><5><96><93>}
cable/test/missing_cable/007.png@#@<p>Anomalies</p> {<17><46><47><76>}<delim>{<25><48><49><76>} <p>detection</p> {<17><46><47><76>}
cable/test/missing_cable/008.png@#@<p>Anomalies</p> {<8><7><94><96>}<delim>{<31><20><63><54>}
cable/test/missing_cable/009.png@#@<p>Anomalies</p> {<49><45><70><63>}<delim>{<22><15><53><78>}
cable/test/missing_cable/010.png@#@<p>Anomalies</p> {<18><42><54><79>}<delim>{<53><46><81><74>}
cable/test/missing_cable/011.png@#@<p>Anomalies</p> {<53><44><82><71>}<delim>{<21><40><52><69>}
cable/test/missing_wire/000.png@#@<p>Anomalies</p> {<49><43><81><79>}<delim>{<19><43><49><72>}<delim>{<37><16><69><50>}
cable/test/missing_wire/001.png@#@<p>Anomalies</p> {<17><39><51><80>}<delim>{<52><29><68><46>}<delim>{<35><16><69><50>}
cable/test/missing_wire/002.png@#@<p>Anomalies</p> {<39><51><54><76>}<delim>{<40><16><72><52>}<delim>{<39><38><52><52>}
cable/test/missing_wire/003.png@#@<p>Anomalies</p> {<15><41><48><76>}<delim>{<39><16><70><52>}<delim>{<17><41><50><77>}
cable/test/missing_wire/004.png@#@<p>Anomalies</p> {<15><38><49><76>}<delim>{<30><16><65><48>}<delim>{<16><21><49><48>}
cable/test/missing_wire/005.png@#@<p>Anomalies</p> {<10><5><97><94>}
cable/test/missing_wire/006.png@#@<p>Anomalies</p> {<50><44><83><78>}<delim>{<16><44><51><78>}
cable/test/missing_wire/007.png@#@<p>Anomalies</p> {<15><47><48><77>}<delim>{<34><20><69><52>}
cable/test/missing_wire/008.png@#@<p>Anomalies</p> {<52><42><81><79>}<delim>{<38><18><70><51>}
cable/test/missing_wire/009.png@#@<p>Anomalies</p> {<18><42><47><73>}<delim>{<35><19><69><43>}
cable/test/poke_insulation/000.png@#@<p>Anomalies</p> {<14><43><47><75>}<delim>{<20><23><69><51>}<delim>{<38><15><67><47>}
cable/test/poke_insulation/001.png@#@<p>Anomalies</p> {<39><35><69><82>}<delim>{<17><46><49><80>}
cable/test/poke_insulation/002.png@#@<p>Anomalies</p> {<3><2><96><97>}<delim>{<18><40><49><71>}
cable/test/poke_insulation/003.png@#@<p>Anomalies</p> {<48><13><70><52>}<delim>{<16><44><49><80>}
cable/test/poke_insulation/004.png@#@<p>Anomalies</p> {<50><44><81><76>}<delim>{<33><21><69><50>}<delim>{<16><43><50><75>}
cable/test/poke_insulation/005.png@#@<p>Anomalies</p> {<15><42><48><76>}<delim>{<34><20><66><49>}<delim>{<15><41><48><75>}
cable/test/poke_insulation/006.png@#@<p>Anomalies</p> {<51><46><78><73>}<delim>{<19><43><49><74>}<delim>{<10><39><50><70>}
cable/test/poke_insulation/007.png@#@<p>Anomalies</p> {<19><40><52><73>}<delim>{<19><5><68><73>}<delim>{<19><40><52><73>}
cable/test/poke_insulation/008.png@#@<p>Anomalies</p> {<37><17><72><54>}<delim>{<51><22><71><50>}<delim>{<19><47><53><81>}
cable/test/poke_insulation/009.png@#@<p>Anomalies</p> {<16><47><49><78>}<delim>{<27><18><63><50>}<delim>{<50><49><79><77>}
capsule/test/crack/000.png@#@<p>Anomalies</p> {<6><36><94><67>}
capsule/test/crack/001.png@#@<p>Anomalies</p> {<5><34><94><70>}
capsule/test/crack/002.png@#@<p>Anomalies</p> {<50><38><93><62>}<delim>{<14><37><55><49>}
capsule/test/crack/003.png@#@<p>Anomalies</p> {<6><34><94><67>}<delim>{<8><35><52><67>}
capsule/test/crack/004.png@#@<p>Anomalies</p> {<49><36><92><65>}
capsule/test/crack/005.png@#@<p>Anomalies</p> {<8><34><95><67>}
capsule/test/crack/006.png@#@<p>Anomalies</p> {<8><34><93><67>}
capsule/test/crack/007.png@#@<p>Anomalies</p> {<8><34><93><67>}
capsule/test/crack/008.png@#@<p>Anomalies</p> {<6><34><93><67>}
capsule/test/crack/009.png@#@<p>Anomalies</p> {<50><36><93><64>}<delim>{<10><36><54><65>}
capsule/test/crack/010.png@#@<p>Anomalies</p> {<9><35><94><68>}
capsule/test/crack/011.png@#@<p>Anomalies</p> {<7><35><95><68>}
capsule/test/crack/012.png@#@<p>Anomalies</p> {<7><34><95><68>}
capsule/test/crack/013.png@#@<p>Anomalies</p> {<8><36><94><66>}
capsule/test/crack/014.png@#@<p>Anomalies</p> {<8><34><94><66>}
capsule/test/crack/015.png@#@<p>Anomalies</p> {<8><34><95><67>}
capsule/test/crack/016.png@#@<p>Anomalies</p> {<8><35><94><67>}<delim>{<8><35><94><67>}
